Date,Time,X_Drift,Y_Drift,Z_Drift
20260625,10:33:56,-0.0129,0.0127,-0.0053
20260625,10:34:49,-0.0125,0.0125,-0.0054
20260625,10:35:42,-0.0118,0.0127,-0.0055
20260625,10:36:33,-0.0121,0.0127,-0.0057
20260625,10:37:26,-0.0122,0.013,-0.0054
20260625,10:38:18,-0.0121,0.0127,-0.0054
20260625,10:39:10,-0.0125,0.0129,-0.0058
20260625,10:40:03,-0.0125,0.0128,-0.0057
20260625,10:40:56,-0.0127,0.0127,-0.0061
20260625,10:41:49,-0.0123,0.0127,-0.006
20260625,10:42:41,-0.0123,0.013,-0.0064
20260625,10:43:33,-0.0125,0.0133,-0.0064
20260625,10:44:26,-0.012,0.0129,-0.0063
20260625,10:45:39,-0.0129,0.0136,-0.0059
20260625,10:46:32,-0.0124,0.0134,-0.0062
20260625,10:47:24,-0.0121,0.0134,-0.0062
20260625,10:48:17,-0.0122,0.0133,-0.0066
20260625,10:49:10,-0.012,0.0133,-0.0063
20260625,10:50:03,-0.0123,0.0131,-0.0063
20260625,10:50:57,-0.012,0.0137,-0.0068
20260625,10:51:52,-0.0121,0.0134,-0.0069
20260625,10:52:47,-0.0123,0.0133,-0.0064
20260625,10:53:43,-0.0124,0.0134,-0.0067
20260625,10:54:39,-0.012,0.0132,-0.0065
20260625,10:55:31,-0.0123,0.0137,-0.0068
20260625,10:56:24,-0.0119,0.0138,-0.007
20260625,10:57:16,-0.0123,0.0137,-0.0068
20260625,10:58:08,-0.0122,0.0136,-0.0066
20260625,10:59:01,-0.0123,0.0137,-0.007
20260625,10:59:53,-0.0124,0.0137,-0.0068
20260625,11:00:47,-0.0125,0.0137,-0.0072
20260625,11:01:40,-0.0119,0.0132,-0.0071
20260625,11:02:35,-0.0124,0.013,-0.0069
20260625,11:03:30,-0.0122,0.0132,-0.0073
20260625,11:04:25,-0.0119,0.0131,-0.0068
20260625,11:05:21,-0.012,0.0133,-0.0066
20260625,11:06:13,-0.0113,0.0131,-0.0069
20260625,11:07:06,-0.0115,0.0131,-0.0071
20260625,11:07:59,-0.0113,0.0134,-0.0071
20260625,11:08:51,-0.0113,0.0131,-0.0071
20260625,11:09:43,-0.0116,0.0135,-0.0072
20260625,11:10:36,-0.0116,0.0133,-0.0074
20260625,11:11:29,-0.0115,0.0134,-0.0071
20260625,11:12:24,-0.011,0.0128,-0.007
20260625,11:13:18,-0.011,0.0127,-0.0072
20260625,11:14:12,-0.0114,0.0135,-0.0072
20260625,11:15:08,-0.011,0.013,-0.0073
20260625,11:16:04,-0.011,0.0127,-0.0073
20260625,11:16:55,-0.0113,0.013,-0.0075
20260625,11:17:47,-0.0111,0.0131,-0.0073
20260625,11:18:40,-0.0112,0.0129,-0.0078
20260625,11:19:33,-0.0112,0.0127,-0.0079
20260625,11:20:26,-0.0109,0.0122,-0.0077
20260625,11:21:19,-0.0109,0.0125,-0.0078
20260625,11:22:13,-0.0108,0.0127,-0.0078
20260625,11:23:07,-0.0105,0.0121,-0.0078
20260625,11:24:02,-0.0109,0.0122,-0.0083
20260625,11:24:56,-0.0105,0.0123,-0.0085
20260625,11:25:52,-0.0105,0.0121,-0.0076
20260625,11:26:48,-0.0108,0.012,-0.008
20260625,11:27:40,-0.0106,0.0117,-0.0079
20260625,11:28:33,-0.0106,0.0118,-0.0077
20260625,11:29:26,-0.0105,0.012,-0.0079
20260625,11:30:19,-0.0106,0.0123,-0.008
20260625,11:31:12,-0.0101,0.0117,-0.0078
20260625,11:32:06,-0.01,0.0118,-0.0085
20260625,11:33:00,-0.01,0.0115,-0.0083
20260625,11:33:53,-0.0101,0.0118,-0.0083
20260625,11:34:48,-0.0102,0.0116,-0.0084
20260625,11:35:43,-0.0098,0.0111,-0.0081
20260625,11:36:38,-0.01,0.0116,-0.0078
20260625,11:37:33,-0.01,0.0115,-0.0082
20260625,11:38:25,-0.0099,0.011,-0.0084
20260625,11:39:17,-0.0097,0.0108,-0.0083
20260625,11:40:09,-0.0096,0.0111,-0.0083
20260625,11:41:01,-0.0097,0.0112,-0.0084
20260625,11:41:54,-0.01,0.0111,-0.0082
20260625,11:42:46,-0.0097,0.0109,-0.008
20260625,11:43:39,-0.0096,0.0112,-0.0083
20260625,11:44:33,-0.0094,0.011,-0.0084
20260625,11:45:28,-0.0101,0.0113,-0.0087
20260625,11:46:22,-0.0093,0.011,-0.0082
20260625,11:47:17,-0.0096,0.0111,-0.0084
20260625,11:48:13,-0.0099,0.011,-0.0081
20260625,11:49:05,-0.0095,0.0105,-0.0085
20260625,11:49:57,-0.0092,0.0107,-0.0079
20260625,11:50:50,-0.0095,0.0111,-0.0082
20260625,11:51:43,-0.0098,0.011,-0.0085
20260625,11:52:35,-0.0095,0.0108,-0.008
20260625,11:53:29,-0.0092,0.0107,-0.0085
20260625,11:54:22,-0.0095,0.0107,-0.0083
20260625,11:55:15,-0.0092,0.0107,-0.0081
20260625,11:56:09,-0.0092,0.011,-0.0082
20260625,11:57:03,-0.0087,0.0105,-0.0079
20260625,11:57:59,-0.0092,0.0108,-0.0082
20260625,11:58:54,-0.0089,0.0107,-0.0077
20260625,11:59:45,-0.0088,0.0106,-0.0079
20260625,12:00:37,-0.0087,0.0106,-0.008
20260625,12:01:30,-0.0085,0.0104,-0.008
20260625,12:02:22,-0.009,0.0109,-0.0081
20260625,12:03:15,-0.0093,0.0107,-0.0082
20260625,12:04:08,-0.0089,0.0108,-0.0082
20260625,12:05:01,-0.0088,0.0103,-0.0081
20260625,12:05:54,-0.0088,0.0102,-0.0079
20260625,12:06:48,-0.0086,0.0104,-0.0079
20260625,12:07:42,-0.0084,0.0106,-0.0076
20260625,12:08:36,-0.0083,0.011,-0.0077
20260625,12:09:32,-0.0086,0.0108,-0.0077
20260625,12:10:23,-0.0082,0.0105,-0.0076
20260625,12:11:15,-0.0081,0.0105,-0.0077
20260625,12:12:08,-0.0084,0.0108,-0.0079
20260625,12:13:00,-0.008,0.0105,-0.0079
20260625,12:13:52,-0.0082,0.0106,-0.0078
20260625,12:14:45,-0.0081,0.0106,-0.0081
